score_time,audio_time
-1.000000000000000000e+00,5.366389518770471323e-01
-9.749999999999999778e-01,5.495389266817838347e-01
-9.499999999999999556e-01,5.650188964474678333e-01
-9.249999999999999334e-01,5.830788611740993499e-01
-8.999999999999999112e-01,6.037188208616779406e-01
-8.749999999999998890e-01,6.269387755102040494e-01
-8.499999999999998668e-01,6.501587301587301582e-01
-8.249999999999998446e-01,6.733786848072562670e-01
-7.999999999999998224e-01,6.965986394557823758e-01
-7.749999999999998002e-01,7.198185941043083735e-01
-7.499999999999997780e-01,7.430385487528344823e-01
-7.249999999999997558e-01,7.662585034013604801e-01
-6.999999999999997335e-01,7.894784580498865889e-01
-6.749999999999997113e-01,8.126984126984126977e-01
-6.499999999999996891e-01,8.359183673469388065e-01
-6.249999999999996669e-01,8.591383219954648043e-01
-5.999999999999996447e-01,8.823582766439910241e-01
-5.749999999999996225e-01,9.055782312925169109e-01
-5.499999999999996003e-01,9.287981859410430197e-01
-5.249999999999995781e-01,9.520181405895691285e-01
-4.999999999999995559e-01,9.752380952380952372e-01
-4.749999999999995337e-01,9.984580498866213460e-01
-4.499999999999995115e-01,1.021678004535147455e+00
-4.249999999999994893e-01,1.044897959183673564e+00
-3.999999999999994671e-01,1.068117913832199450e+00
-3.749999999999994449e-01,1.091337868480725781e+00
-3.499999999999994227e-01,1.114557823129251668e+00
-3.249999999999994005e-01,1.137777777777777777e+00
-2.999999999999993783e-01,1.160997732426303886e+00
-2.749999999999993561e-01,1.184217687074829772e+00
-2.499999999999993339e-01,1.207437641723355881e+00
-2.249999999999993117e-01,1.230657596371881990e+00
-1.999999999999992895e-01,1.253877551020408099e+00
-1.749999999999992673e-01,1.277097505668933985e+00
-1.499999999999992450e-01,1.300317460317460094e+00
-1.249999999999992228e-01,1.323537414965986425e+00
-9.999999999999920064e-02,1.346757369614512534e+00
-7.499999999999917843e-02,1.369977324263038643e+00
-4.999999999999915623e-02,1.393197278911564529e+00
-2.499999999999913403e-02,1.416417233560090638e+00
8.881784197001252323e-16,1.439637188208616747e+00
2.500000000000079936e-02,1.460277147896195560e+00
5.000000000000093259e-02,1.478337112622827076e+00
7.500000000000106581e-02,1.496397077349458371e+00
1.000000000000009770e-01,1.514457042076089666e+00
1.250000000000008882e-01,1.532517006802720960e+00
1.500000000000010214e-01,1.550576971529352255e+00
1.750000000000011546e-01,1.568636936255983771e+00
2.000000000000010658e-01,1.586696900982615288e+00
2.250000000000009770e-01,1.604756865709246583e+00
2.500000000000011102e-01,1.625396825396825395e+00
2.750000000000012434e-01,1.648616780045351282e+00
3.000000000000011546e-01,1.671836734693877391e+00
3.250000000000010658e-01,1.695056689342403500e+00
3.500000000000011990e-01,1.718276643990929609e+00
3.750000000000013323e-01,1.741496598639455717e+00
4.000000000000012434e-01,1.764716553287981604e+00
4.250000000000011546e-01,1.787936507936507935e+00
4.500000000000012879e-01,1.811156462585033822e+00
4.750000000000014211e-01,1.831796422272612856e+00
5.000000000000013323e-01,1.849856386999244151e+00
5.250000000000012434e-01,1.867916351725875446e+00
5.500000000000013767e-01,1.885976316452506962e+00
5.750000000000015099e-01,1.904036281179138257e+00
6.000000000000014211e-01,1.922096245905769774e+00
6.250000000000013323e-01,1.940156210632400846e+00
6.500000000000014655e-01,1.958216175359032363e+00
6.750000000000015987e-01,1.976276140085663879e+00
7.000000000000015099e-01,1.996916099773242470e+00
7.250000000000014211e-01,2.020136054421768801e+00
7.500000000000015543e-01,2.043356009070294910e+00
7.750000000000016875e-01,2.066575963718820574e+00
8.000000000000015987e-01,2.089795918367347127e+00
8.250000000000015099e-01,2.113015873015872792e+00
8.500000000000016431e-01,2.136235827664398901e+00
8.750000000000017764e-01,2.159455782312925454e+00
9.000000000000016875e-01,2.182675736961451118e+00
9.250000000000015987e-01,2.205895691609977227e+00
9.500000000000017319e-01,2.229115646258503336e+00
9.750000000000018652e-01,2.252335600907029001e+00
1.000000000000001776e+00,2.275555555555555109e+00
1.025000000000001688e+00,2.298775510204081662e+00
1.050000000000001599e+00,2.321995464852607771e+00
1.075000000000001954e+00,2.342635424540186584e+00
1.100000000000001865e+00,2.360695389266817656e+00
1.125000000000001776e+00,2.376175359032501877e+00
1.150000000000002132e+00,2.389075333837238357e+00
1.175000000000002043e+00,2.399395313681027542e+00
1.200000000000001954e+00,2.407135298563869430e+00
1.225000000000001865e+00,2.412295288485764466e+00
1.250000000000001776e+00,2.414875283446711762e+00
1.275000000000002132e+00,2.414875283446711762e+00
1.300000000000002043e+00,2.414875283446711762e+00
1.325000000000001954e+00,2.414875283446711762e+00
1.350000000000002309e+00,2.414875283446711762e+00
1.375000000000002220e+00,2.414875283446711762e+00
1.400000000000002132e+00,2.414875283446711762e+00
1.425000000000002043e+00,2.414875283446711762e+00
1.450000000000001954e+00,2.414875283446711762e+00
1.475000000000002309e+00,2.414875283446711762e+00
1.500000000000002220e+00,2.414875283446711762e+00
1.525000000000002132e+00,2.414875283446711762e+00
1.550000000000002487e+00,2.414875283446711762e+00
1.575000000000002398e+00,2.414875283446711762e+00
1.600000000000002309e+00,2.414875283446711762e+00
1.625000000000002220e+00,2.414875283446711762e+00
1.650000000000002132e+00,2.414875283446711762e+00
1.675000000000002487e+00,2.414875283446711762e+00
1.700000000000002398e+00,2.414875283446711762e+00
1.725000000000002309e+00,2.414875283446711762e+00
1.750000000000002665e+00,2.414875283446711762e+00
1.775000000000002576e+00,2.414875283446711762e+00
1.800000000000002487e+00,2.417455278407659058e+00
1.825000000000002398e+00,2.422615268329553651e+00
1.850000000000002309e+00,2.430355253212395539e+00
1.875000000000002665e+00,2.440675233056185167e+00
1.900000000000002576e+00,2.453575207860922092e+00
1.925000000000002487e+00,2.469055177626605868e+00
1.950000000000002842e+00,2.487115142353236941e+00
1.975000000000002753e+00,2.507755102040816197e+00
2.000000000000002665e+00,2.530975056689342306e+00
2.025000000000002576e+00,2.554195011337868415e+00
2.050000000000002487e+00,2.577414965986394968e+00
2.075000000000002842e+00,2.600634920634920633e+00
2.100000000000002753e+00,2.623854875283446741e+00
2.125000000000002665e+00,2.647074829931972850e+00
2.150000000000003020e+00,2.670294784580498515e+00
2.175000000000002931e+00,2.693514739229024624e+00
2.200000000000002842e+00,2.716734693877550288e+00
2.225000000000002753e+00,2.739954648526076841e+00
2.250000000000002665e+00,2.763174603174603394e+00
2.275000000000003020e+00,2.786394557823129503e+00
2.300000000000002931e+00,2.809614512471655168e+00
2.325000000000002842e+00,2.832834467120181277e+00
2.350000000000003197e+00,2.856054421768707385e+00
2.375000000000003109e+00,2.879274376417233494e+00
2.400000000000003020e+00,2.902494331065759603e+00
2.425000000000002931e+00,2.925714285714285268e+00
2.450000000000002842e+00,2.948934240362811821e+00
2.475000000000003197e+00,2.972154195011337485e+00
2.500000000000003109e+00,2.995374149659864038e+00
2.525000000000003020e+00,3.018594104308390147e+00
2.550000000000003375e+00,3.041814058956916256e+00
2.575000000000003286e+00,3.065034013605441920e+00
2.600000000000003197e+00,3.088253968253968029e+00
2.625000000000003109e+00,3.111473922902494138e+00
2.650000000000003020e+00,3.134693877551020247e+00
2.675000000000003375e+00,3.157913832199545912e+00
2.700000000000003286e+00,3.181133786848072464e+00
2.725000000000003197e+00,3.204353741496598573e+00
2.750000000000003553e+00,3.227573696145125126e+00
2.775000000000003464e+00,3.250793650793651235e+00
2.800000000000003375e+00,3.274013605442176900e+00
2.825000000000003286e+00,3.297233560090703008e+00
2.850000000000003197e+00,3.320453514739228673e+00
2.875000000000003553e+00,3.343673469387754782e+00
2.900000000000003464e+00,3.366893424036280891e+00
2.925000000000003375e+00,3.390113378684806555e+00
2.950000000000003730e+00,3.413333333333333108e+00
2.975000000000003642e+00,3.433973293020912365e+00
3.000000000000003553e+00,3.452033257747543438e+00
3.025000000000003908e+00,3.467513227513228102e+00
3.050000000000003375e+00,3.480413202317964583e+00
3.075000000000003730e+00,3.490733182161753767e+00
3.100000000000003197e+00,3.498473167044595655e+00
3.125000000000003553e+00,3.503633156966490247e+00
3.150000000000003908e+00,3.506213151927437544e+00
3.175000000000003375e+00,3.506213151927437544e+00
3.200000000000003730e+00,3.506213151927437544e+00
3.225000000000004086e+00,3.508793146888384840e+00
3.250000000000003553e+00,3.513953136810279432e+00
3.275000000000003908e+00,3.521693121693121764e+00
3.300000000000004263e+00,3.532013101536910948e+00
3.325000000000003730e+00,3.544913076341647873e+00
3.350000000000004086e+00,3.560393046107331649e+00
3.375000000000003553e+00,3.578453010833963166e+00
3.400000000000003908e+00,3.599092970521541535e+00
3.425000000000004263e+00,3.619732930209120347e+00
3.450000000000003730e+00,3.637792894935751420e+00
3.475000000000004086e+00,3.653272864701435196e+00
3.500000000000003553e+00,3.668752834467118973e+00
3.525000000000003908e+00,3.684232804232803637e+00
3.550000000000004263e+00,3.699712773998487858e+00
3.575000000000003730e+00,3.715192743764172523e+00
3.600000000000004086e+00,3.730672713529856743e+00
3.625000000000004441e+00,3.746152683295540520e+00
3.650000000000003908e+00,3.764212648022171592e+00
3.675000000000004263e+00,3.784852607709750405e+00
3.700000000000004619e+00,3.808072562358276070e+00
3.725000000000004086e+00,3.831292517006802179e+00
3.750000000000004441e+00,3.854512471655328731e+00
3.775000000000003908e+00,3.877732426303855284e+00
3.800000000000004263e+00,3.900952380952380949e+00
3.825000000000004619e+00,3.924172335600907502e+00
3.850000000000004086e+00,3.947392290249433167e+00
